fold,dataset_version,evaluation,split,accuracy,dataset_distance_to_benchmark
2,chance_100/change_5,benchmark_model,val,0.90625,0.004168835616438356
3,chance_100/change_5,benchmark_model,val,0.88125,0.004168835616438356
4,chance_100/change_5,benchmark_model,val,0.8875,0.004168835616438356
0,chance_100/change_50,alt_model,test,0.76,0.031654908675799086
1,chance_100/change_50,alt_model,test,0.79,0.031654908675799086
2,chance_100/change_50,alt_model,test,0.755,0.031654908675799086
3,chance_100/change_50,alt_model,test,0.765,0.031654908675799086
4,chance_100/change_50,alt_model,test,0.76,0.031654908675799086
0,chance_100/change_50,alt_model,val,0.775,0.031654908675799086
1,chance_100/change_50,alt_model,val,0.71875,0.031654908675799086
2,chance_100/change_50,alt_model,val,0.78125,0.031654908675799086
3,chance_100/change_50,alt_model,val,0.78125,0.031654908675799086
4,chance_100/change_50,alt_model,val,0.74375,0.031654908675799086
0,chance_100/change_50,benchmark_model,test,0.35,0.031654908675799086
1,chance_100/change_50,benchmark_model,test,0.395,0.031654908675799086
2,chance_100/change_50,benchmark_model,test,0.215,0.031654908675799086
3,chance_100/change_50,benchmark_model,test,0.2,0.031654908675799086
4,chance_100/change_50,benchmark_model,test,0.27,0.031654908675799086
0,chance_100/change_50,benchmark_model,val,0.35,0.031654908675799086
1,chance_100/change_50,benchmark_model,val,0.4,0.031654908675799086
2,chance_100/change_50,benchmark_model,val,0.2,0.031654908675799086
3,chance_100/change_50,benchmark_model,val,0.2,0.031654908675799086
4,chance_100/change_50,benchmark_model,val,0.28125,0.031654908675799086
0,chance_15/change_10,alt_model,test,0.885,0.0
1,chance_15/change_10,alt_model,test,0.845,0.0
2,chance_15/change_10,alt_model,test,0.88,0.0
3,chance_15/change_10,alt_model,test,0.815,0.0
4,chance_15/change_10,alt_model,test,0.86,0.0
0,chance_15/change_10,alt_model,val,0.85625,0.0
1,chance_15/change_10,alt_model,val,0.875,0.0
